Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
search-1716880149309,1,472,472,472,472,472,472,472,0.000%,2.11864,1.60,0.98
Login-1716880149371,1,290,290,290,290,290,290,290,0.000%,3.44828,2.09,1.65
search-1716880149528,1,240,240,240,240,240,240,240,0.000%,4.16667,136.97,1.84
search-1716880149747,1,938,938,938,938,938,938,938,0.000%,1.06610,10.31,0.46
search-1716880149786,1,474,474,474,474,474,474,474,0.000%,2.10970,60.53,0.93
search-1716880149854,1,932,932,932,932,932,932,932,0.000%,1.07296,10.35,0.48
search-1716880149869,1,483,483,483,483,483,483,483,0.000%,2.07039,1.56,0.99
search-1716880150230,1,483,483,483,483,483,483,483,0.000%,2.07039,1.56,0.96
search-1716880150246,1,468,468,468,468,468,468,468,0.000%,2.13675,95.69,0.94
search-1716880150449,1,925,925,925,925,925,925,925,0.000%,1.08108,10.44,0.47
search-1716880150508,1,254,254,254,254,254,254,254,0.000%,3.93701,129.45,1.74
search-1716880150700,1,467,467,467,467,467,467,467,0.000%,2.14133,61.43,0.95
search-1716880150794,1,938,938,938,938,938,938,938,0.000%,1.06610,10.31,0.46
search-1716880150807,1,941,941,941,941,941,941,941,0.000%,1.06270,10.25,0.48
search-1716880150932,1,477,477,477,477,477,477,477,0.000%,2.09644,1.58,0.97
search-1716880151153,1,461,461,461,461,461,461,461,0.000%,2.16920,97.14,0.96
search-1716880151273,1,480,480,480,480,480,480,480,0.000%,2.08333,1.57,0.96
search-1716880151388,1,234,234,234,234,234,234,234,0.000%,4.27350,140.51,1.89
search-1716880151404,1,895,895,895,895,895,895,895,0.000%,1.11732,10.84,0.48
search-1716880151623,1,683,683,683,683,683,683,683,0.000%,1.46413,73.70,0.65
search-1716880151673,1,863,863,863,863,863,863,863,0.000%,1.15875,11.22,0.50
search-1716880151749,1,475,475,475,475,475,475,475,0.000%,2.10526,60.40,0.93
